1	br-a01	1	1	1	The Fulton_County_Grand_Jury said Friday an investigation of Atlanta 's recent primary_election produced `` no evidence '' that any irregularities took_place . 
2	br-a01	2	2	22	The jury further said in term end presentments that the City_Executive_Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City_of_Atlanta '' for the manner in which the election was conducted . 
3	br-a01	3	3	62	The September October term jury had been charged by Fulton Superior_Court_Judge_Durwood_Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate_Ivan_Allen_Jr. . 
4	br-a01	4	4	91	`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of_this city '' . 
5	br-a01	5	5	127	The jury said it did find that many_of Georgia 's registration and election laws `` are outmoded or inadequate and often ambiguous '' . 
6	br-a01	6	6	151	It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' . 
7	br-a01	7	7	175	The grand_jury commented on a number of other topics , among them the Atlanta and Fulton_County purchasing_departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' . 
8	br-a01	8	8	215	However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' . 
9	br-a01	9	9	241	The City_Purchasing_Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' . 
10	br-a01	9	10	264	It urged that the city `` take steps to remedy '' this problem . 
11	br-a01	10	11	278	Implementation of Georgia 's automobile title law was also recommended by the outgoing jury . 
12	br-a01	11	12	293	It urged that the next Legislature `` provide enabling funds and re-set the effective date so_that an orderly implementation of the law may be effected '' . 
13	br-a01	12	13	320	The grand_jury took_a_swipe_at the State_Welfare_Department 's handling of federal funds granted for child_welfare_services in foster_homes . 
14	br-a01	13	14	336	`` This is one of the major items in the Fulton_County general assistance program '' , the jury said , but the State_Welfare_Department `` has seen_fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton_County , which receives none of_this money . 
15	br-a01	14	15	389	The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' . 
16	br-a01	15	16	412	Nevertheless , `` we feel that in_the_future Fulton_County should receive some portion of these available funds '' , the jurors said . 
17	br-a01	15	17	434	`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers . 
18	br-a01	16	18	451	The jury also commented on the Fulton ordinary 's court which has been under_fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation . 
19	br-a01	17	19	485	The jury said it found the court `` has incorporated into its operating_procedures the recommendations '' of two previous grand_juries , the Atlanta_Bar_Association and an interim citizens_committee . 
20	br-a01	18	20	513	`` These actions should serve to protect in_fact and in_effect the court 's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '' , the jury said . 
21	br-a01	19	21	545	Regarding Atlanta 's new million dollar airport , the jury recommended `` that when the new management takes_charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' . 
22	br-a01	20	22	579	The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' . 
23	br-a01	21	23	612	On other matters , the jury recommended that : 
24	br-a01	22	24	621	Four additional deputies be employed at the Fulton_County_Jail and `` a doctor , medical_intern or extern be employed for night and weekend duty at the jail '' . 
25	br-a01	23	25	649	Fulton legislators `` work with city officials to pass enabling_legislation that will permit the establishment of a fair and equitable '' pension plan for city employes . 
26	br-a01	24	26	676	The jury praised the administration and operation of the Atlanta Police_Department , the Fulton_Tax_Commissioner_'s_Office , the Bellwood and Alpharetta prison_farms , Grady_Hospital and the Fulton_Health_Department . 
